Date,Centre_Name,Commodity_Name,Price
09-01-09,DELHI,Rice,1700
09-01-09,SHIMLA,Rice,NA
09-01-09,SRINAGAR,Rice,NA
09-01-09,JAMMU,Rice,NA
09-01-09,AMRITSAR,Rice,NA
09-01-09,LUDHIANA,Rice,NA
09-01-09,LUCKNOW,Rice,NA
09-01-09,DEHRADUN,Rice,NA
09-01-09,RAIPUR,Rice,NA
09-01-09,AHMEDABAD,Rice,NA
09-01-09,BHOPAL,Rice,NA
09-01-09,MUMBAI,Rice,NA
09-01-09,JAIPUR,Rice,NA
09-01-09,PATNA,Rice,NA
09-01-09,RANCHI,Rice,NA
09-01-09,BHUBANESHWAR,Rice,1450
09-01-09,KOLKATA,Rice,NA
09-01-09,GUWAHATI,Rice,NA
09-01-09,SHILLONG,Rice,NA
09-01-09,AIZWAL,Rice,NA
09-01-09,KOHIMA,Rice,NA
09-01-09,AGARTALA,Rice,NA
09-01-09,BENGALURU,Rice,1750
09-01-09,T.PURAM,Rice,NA
09-01-09,CHENNAI,Rice,1650
09-01-09,HYDERABAD,Rice,NA
12-01-09,CHANDIGARH,Rice,NA
12-01-09,DELHI,Rice,1700
12-01-09,SHIMLA,Rice,NA
12-01-09,SRINAGAR,Rice,NA
12-01-09,JAMMU,Rice,NA
12-01-09,AMRITSAR,Rice,NA
12-01-09,LUDHIANA,Rice,NA
12-01-09,LUCKNOW,Rice,NA
12-01-09,DEHRADUN,Rice,NA
12-01-09,RAIPUR,Rice,NA
12-01-09,AHMEDABAD,Rice,NA
12-01-09,BHOPAL,Rice,NA
12-01-09,MUMBAI,Rice,NA
12-01-09,JAIPUR,Rice,NA
12-01-09,PATNA,Rice,NA
12-01-09,RANCHI,Rice,NA
12-01-09,BHUBANESHWAR,Rice,1450
12-01-09,KOLKATA,Rice,NA
12-01-09,GUWAHATI,Rice,NA
12-01-09,SHILLONG,Rice,NA
12-01-09,AIZWAL,Rice,NA
12-01-09,KOHIMA,Rice,NA
12-01-09,AGARTALA,Rice,NA
12-01-09,BENGALURU,Rice,1750
12-01-09,T.PURAM,Rice,NA
12-01-09,CHENNAI,Rice,1650
12-01-09,HYDERABAD,Rice,NA
13-01-09,CHANDIGARH,Rice,NA
13-01-09,DELHI,Rice,1700
13-01-09,SHIMLA,Rice,NA
13-01-09,SRINAGAR,Rice,NA
13-01-09,JAMMU,Rice,NA
13-01-09,AMRITSAR,Rice,NA
13-01-09,LUDHIANA,Rice,NA
13-01-09,LUCKNOW,Rice,NA
13-01-09,DEHRADUN,Rice,NA
13-01-09,RAIPUR,Rice,NA
13-01-09,AHMEDABAD,Rice,NA
13-01-09,BHOPAL,Rice,NA
13-01-09,MUMBAI,Rice,NA
13-01-09,JAIPUR,Rice,NA
13-01-09,PATNA,Rice,NA
13-01-09,RANCHI,Rice,NA
13-01-09,BHUBANESHWAR,Rice,NA
13-01-09,KOLKATA,Rice,NA
13-01-09,GUWAHATI,Rice,NA
13-01-09,SHILLONG,Rice,NA
13-01-09,AIZWAL,Rice,NA
13-01-09,KOHIMA,Rice,NA
13-01-09,AGARTALA,Rice,NA
13-01-09,BENGALURU,Rice,NA
13-01-09,T.PURAM,Rice,NA
13-01-09,CHENNAI,Rice,NA
13-01-09,HYDERABAD,Rice,NA
14-01-09,CHANDIGARH,Rice,NA
14-01-09,DELHI,Rice,1700
14-01-09,SHIMLA,Rice,NA
14-01-09,SRINAGAR,Rice,NA
14-01-09,JAMMU,Rice,NA
14-01-09,AMRITSAR,Rice,NA
14-01-09,LUDHIANA,Rice,NA
14-01-09,LUCKNOW,Rice,NA
14-01-09,DEHRADUN,Rice,NA
14-01-09,RAIPUR,Rice,NA
14-01-09,AHMEDABAD,Rice,NA
14-01-09,BHOPAL,Rice,NA
14-01-09,MUMBAI,Rice,NA
14-01-09,JAIPUR,Rice,NA
14-01-09,PATNA,Rice,NA
14-01-09,RANCHI,Rice,NA
14-01-09,BHUBANESHWAR,Rice,1450
14-01-09,KOLKATA,Rice,NA
14-01-09,GUWAHATI,Rice,NA
14-01-09,SHILLONG,Rice,NA
14-01-09,AIZWAL,Rice,NA
14-01-09,KOHIMA,Rice,NA
14-01-09,AGARTALA,Rice,NA
14-01-09,BENGALURU,Rice,NA
14-01-09,T.PURAM,Rice,NA
14-01-09,CHENNAI,Rice,NA
14-01-09,HYDERABAD,Rice,NA
15-01-09,CHANDIGARH,Rice,NA
15-01-09,DELHI,Rice,1700
15-01-09,SHIMLA,Rice,NA
15-01-09,SRINAGAR,Rice,NA
15-01-09,JAMMU,Rice,NA
15-01-09,AMRITSAR,Rice,NA
15-01-09,LUDHIANA,Rice,NA
15-01-09,LUCKNOW,Rice,NA
15-01-09,DEHRADUN,Rice,NA
15-01-09,RAIPUR,Rice,NA
15-01-09,AHMEDABAD,Rice,NA
15-01-09,BHOPAL,Rice,NA
15-01-09,MUMBAI,Rice,NA
15-01-09,JAIPUR,Rice,1500
15-01-09,PATNA,Rice,NA
15-01-09,RANCHI,Rice,NA
15-01-09,BHUBANESHWAR,Rice,NA
15-01-09,KOLKATA,Rice,NA
15-01-09,GUWAHATI,Rice,NA
15-01-09,SHILLONG,Rice,NA
15-01-09,AIZWAL,Rice,NA
15-01-09,KOHIMA,Rice,NA
15-01-09,AGARTALA,Rice,NA
15-01-09,BENGALURU,Rice,1750
15-01-09,T.PURAM,Rice,NA
15-01-09,CHENNAI,Rice,NA
15-01-09,HYDERABAD,Rice,NA
16-01-09,CHANDIGARH,Rice,NA
16-01-09,DELHI,Rice,1700
16-01-09,SHIMLA,Rice,NA
16-01-09,SRINAGAR,Rice,NA
16-01-09,JAMMU,Rice,NA
16-01-09,AMRITSAR,Rice,NA
16-01-09,LUDHIANA,Rice,NA
16-01-09,LUCKNOW,Rice,NA
16-01-09,DEHRADUN,Rice,NA
